Firm Name;City;Province;Firm Size;Contact Person;Phone;Email;Website;Notes
BenT Accountants en Belastingadviseurs;Eindhoven;Noord-Brabant;Small-Mid;;+31 40 257 34 34;info@wijzijnbent.nl;wijzijnbent.nl;"MKB & family businesses; strong Eindhoven presence"
De Wert Accountants & Belastingadviseurs;Eindhoven;Noord-Brabant;Mid;;+31 40 244 42 88;info@dewert.nl;dewert.nl;"~30 staff; experienced MKB partnership firm"
Flynth Eindhoven;Eindhoven;Noord-Brabant;Mid;;+31 88 236 96 00;;flynth.nl/bezoeklocaties/eindhoven;"Largest MKB-focused national network; also has Maastricht branch"
Vermetten Accountants en Adviseurs;Tilburg;Noord-Brabant;Mid;Rob van den Bosch (Partner);+31 88 837 00 00;;vermetten.nl;"Audit, tax & advisory; strong Noord-Brabant regional presence"
3B Adviseurs en Accountants;Den Bosch / Nijmegen;Noord-Brabant / Gelderland;Small-Mid;Frank Robben (Business Advisor);+31 24 303 14 00;info@3badviseurs.nl;3badviseurs.nl;Offices in Den Bosch, Eindhoven, Nijmegen, Uden, Schaijk
Hendriksen Accountants en Adviseurs;Tubbergen / Enschede;Overijssel;Mid;Gerbert-Jan Hendriksen (Directeur);+31 546 62 99 00;info@hendriksen.nl;hendriksen.nl;"~100 staff; 7 offices in Twente; MKB since 1955"
SMK Accountants & Fiscalisten;Enschede;Overijssel;Mid;Bjorn Harmelink (Partner);;;smkaccountants.nl;"5 partners; ~45 staff; regional Twente firm with multiple offices"
Eshuis Accountants en Adviseurs;Enschede;Overijssel;Mid;;+31 88 500 95 00;info@eshuis.com;eshuis.com;"Since 1932; accountancy, tax, legal, BI & SME advisory"
De Twentse Accountants & Adviseurs;Ootmarsum;Overijssel;Small;Henri Meulink / Daniël van Broeck (Mede-eigenaren);+31 6 82984387;info@detwentse.nl;detwentse.nl;"Boutique Twente firm; owner-managed"
Brouwers Accountants & Adviseurs;Zwolle / Deventer;Overijssel;Mid;J. Jassies (Algemeen Directeur);+31 570 855 000;contact@brouwers.nl;brouwers.nl;Offices in Zwolle, Deventer, Genemuiden, Apeldoorn
AACC Accountants en Bedrijfsadvies;Apeldoorn / Deventer;Gelderland;Small-Mid;Antoine Joosten / Richard van Leeuwen (Directeuren);;;aacc.nl;"Part of PIA Group; personal & proactive; StedenDriehoek region"
KRC Van Elderen;Apeldoorn / Zwolle;Gelderland / Overijssel;Mid;;;; krcvanelderen.nl;"~25 staff in Zwolle; serves Gelderland & Overijssel"
Eijkhout & Partners;Nijmegen;Gelderland;Small-Mid;;+31 24 360 00 10;info@eijkhoutenpartners.nl;eijkhoutenpartners.nl;"Accountancy, tax, business consulting; NBA registered"
VWG Accountants & Belastingadviseurs;Nijmegen;Gelderland;Mid;Peter Mom (Partner);+31 24 365 09 65;info.nijmegen@vwg.nl;vwg.nl;"100+ staff; 11 partners; offices in Nijmegen & Wijchen"
Baker Tilly Nijmegen;Nijmegen;Gelderland;Mid;;+31 24 378 48 48;nijmegen@bakertilly.nl;bakertilly.nl;"Mid-large national firm; strong MKB & industry focus"
Konings Maters Accountants & Adviseurs;Nijmegen / Oss;Gelderland / Noord-Brabant;Mid;Twan Konings (Vennoot);+31 24 696 28 89;;koningsmaters.nl;"120+ professionals; offices in Nijmegen & Oss"
Scheers Groep Adviseurs en Accountants;Maastricht;Limburg;Mid;Anton Daemen (Partner/Kantoormanager);+31 6 29032552;info@scheersgroep.nl;scheersgroep.nl;Full-service MKB firm incl. tax, legal, payroll
KSG Accountants & Belastingadviseurs;Reuver;Limburg;Mid;Ruud Killaars (Co-directeur);+31 77 474 00 00;;ksg.nl;"Regional MKB accountant of Limburg; multiple Limburg offices"
Leenders & Gielen Adviseurs;Venlo;Limburg;Small;;;info@leendersgielen.nl;leendersgielen.nl;"North & Central Limburg; tax, admin, payroll; Peel & Maas / Venlo area"
Verstegen Accountants en Adviseurs;Dordrecht;Zuid-Holland;Mid;Arie Vat / Koen Hoogendoorn (Partners);+31 78 648 15 55;;verstegenaccountants.nl;"260+ staff; founded Dordrecht; offices across NL incl. Rotterdam, Delft, Zwolle"
